id,male,age,yrsmarr,kids,relig,educ,occup,ratemarr,naffairs,affair,vryhap,hapavg,avgmarr,unhap,vryrel,smerel,slghtrel,notrel
4,1,37.00,10.00,0,3,18,7,4,0,0,0,1,0,0,0,0,1,0
5,0,27.00,4.00,0,4,14,6,4,0,0,0,1,0,0,0,1,0,0
6,1,27.00,1.50,0,3,18,4,4,3,1,0,1,0,0,0,0,1,0
11,0,32.00,15.00,1,1,12,1,4,0,0,0,1,0,0,0,0,0,0
12,0,27.00,4.00,1,3,17,1,5,3,1,1,0,0,0,0,0,1,0
16,1,57.00,15.00,1,5,18,6,5,0,0,1,0,0,0,1,0,0,0
23,1,22.00,0.75,0,2,17,6,3,0,0,0,0,1,0,0,0,0,1
29,0,32.00,1.50,0,2,17,5,5,0,0,1,0,0,0,0,0,0,1
43,1,37.00,15.00,1,5,18,6,2,7,1,0,0,0,1,1,0,0,0
44,0,22.00,0.75,0,2,12,1,3,0,0,0,0,1,0,0,0,0,1
45,1,57.00,15.00,1,2,14,4,4,0,0,0,1,0,0,0,0,0,1
47,0,32.00,15.00,1,4,16,1,2,0,0,0,0,0,1,0,1,0,0
49,1,22.00,1.50,0,4,14,4,5,0,0,1,0,0,0,0,1,0,0
50,1,37.00,15.00,1,2,20,7,2,0,0,0,0,0,1,0,0,0,1
53,0,32.00,10.00,1,3,17,5,2,12,1,0,0,0,1,0,0,1,0
55,1,27.00,4.00,1,4,18,6,4,0,0,0,1,0,0,0,1,0,0
64,1,47.00,15.00,1,5,17,6,4,0,0,0,1,0,0,1,0,0,0
67,1,22.00,0.13,0,4,16,5,5,1,1,1,0,0,0,0,1,0,0
79,0,22.00,1.50,1,2,14,1,5,1,1,1,0,0,0,0,0,0,1
80,0,22.00,1.50,0,2,17,5,4,0,0,0,1,0,0,0,0,0,1
86,0,27.00,4.00,0,4,14,5,4,0,0,0,1,0,0,0,1,0,0
93,0,37.00,15.00,1,1,17,5,5,0,0,1,0,0,0,0,0,0,0
108,0,37.00,15.00,1,2,18,4,3,0,0,0,0,1,0,0,0,0,1
114,0,22.00,0.75,0,3,16,5,4,0,0,0,1,0,0,0,0,1,0
115,0,22.00,1.50,0,2,16,5,5,0,0,1,0,0,0,0,0,0,1
116,0,27.00,10.00,1,2,14,1,5,0,0,1,0,0,0,0,0,0,1
122,1,37.00,15.00,1,4,14,5,2,12,1,0,0,0,1,0,1,0,0
123,0,22.00,1.50,0,2,16,5,5,0,0,1,0,0,0,0,0,0,1
126,0,22.00,1.50,0,2,14,3,4,7,1,0,1,0,0,0,0,0,1
127,0,22.00,1.50,0,2,16,5,5,0,0,1,0,0,0,0,0,0,1
129,0,27.00,10.00,1,4,16,5,4,0,0,0,1,0,0,0,1,0,0
