Name,Cmpg,Eng,Vol
Acura TL 2wd 3.5L,18,3.5,1.11
Audi A3 2L,22,2.0,1.09
Audi A4 2L,22,2.0,1.03
Audi A5 Cabriolet 2L,22,2.0,0.91
Audi A6 3.2L,21,3.2,1.14
Buick Lacrosse 2.4L,19,2.4,1.16
Buick Lacrosse 3.6L,17,3.6,1.16
Buick Lucerne 4.6L,15,4.6,1.21
Buick Lucerne FFV 3.9L,17,3.9,1.21
Buick Regal 2.4L,19,2.4,1.11
Buick Regal FFV 2L,18,2.0,1.11
Cadillac DTS 4.6L,15,4.6,1.32
Chevrolet Aveo 1.6L,25,1.6,1.03
Chevrolet Aveo 5 1.6L,25,1.6,0.98
Chevrolet Cruze 1.4L,24,1.4,1.10
Chevrolet Cruze 1.8L,22,1.8,1.10
Chevrolet Cruze ECO 1.4L,26,1.4,1.10
Chevrolet Impala FFV 3.5L,19,3.5,1.24
Chevrolet Impala FFV 3.9L,17,3.9,1.24
Chevrolet Malibu 2.4L,22,2.4,1.11
Chevrolet Malibu 3.6L,17,3.6,1.11
Chevrolet Malibu FFV 2.4L,22,2.4,1.11
Chrysler 200 2.4L,21,2.4,1.15
Chrysler 200 Convertible 2.4L,20,2.4,1.01
Chrysler 200 Convertible FFV 3.6L,19,3.6,1.01
Chrysler 200 FFV 3.6L,19,3.6,1.15
Dodge Avenger 2.4L,21,2.4,1.14
Dodge Avenger FFV 3.6L,19,3.6,1.14
Dodge Caliber 2.4L,22,2.4,1.12
Dodge Caliber 2L,23,2.0,1.12
Ford Fiesta Fwd 1.6L,29,1.6,0.97
Ford Fiesta SFE Fwd 1.6L,29,1.6,0.97
Ford Focus Fwd 2L,25,2.0,1.07
Ford Fusion Fwd 2.5L,23,2.5,1.16
Ford Fusion Fwd 3.5L,18,3.5,1.16
Ford Fusion Fwd FFV 3L,20,3.0,1.17
Ford Taurus Fwd 3.5L,18,3.5,1.22
Honda Accord 2DR Coupe 2.4L,22,2.4,1.04
Honda Accord 2DR Coupe 3.5L,19,3.5,1.04
Honda Accord 4DR Sedan 2.4L,23,2.4,1.21
Honda Accord 4DR Sedan 3.5L,20,3.5,1.21
Honda Civic 1.8L,25,1.8,0.96
Hyundai Accent 1.6L,27,1.6,1.04
Hyundai Azera 3.3L,20,3.3,1.24
Hyundai Azera 3.8L,19,3.8,1.24
Hyundai Elantra 1.8L,29,1.8,1.11
Hyundai Elantra Touring 2L,23,2.0,1.29
Hyundai Sonata 2.4L,22,2.4,1.20
Hyundai Sonata 2L,22,2.0,1.20
Kia Forte Koup 2.4L,23,2.4,1.02
Kia Forte Koup 2L,25,2.0,1.02
Kia Optima 2.4L,24,2.4,1.17
Kia Optima 2L,22,2.0,1.17
Kia Rio 1.6L,27,1.6,1.04
Kia Rondo 2.4L,20,2.4,1.40
Kia Rondo 2.7L,18,2.7,1.40
Kia SOUL 1.6L,26,1.6,1.26
Kia SOUL 2L,24,2.0,1.26
Lexus ES 350 3.5L,19,3.5,1.10
Lincoln-Mercury Milan Fwd 2.5L,23,2.5,1.16
Lincoln-Mercury Milan Fwd FFV 3L,20,3.0,1.16
Lincoln-Mercury MKS Fwd 3.5L,17,3.5,1.23
Lincoln-Mercury MKZ Fwd 3.5L,18,3.5,1.15
Mazda 2 1.5L,27,1.5,1.00
Mazda 3 2.5L,22,2.5,1.06
Mazda 3 2L,24,2.0,1.06
Mazda 6 2.5L,22,2.5,1.19
Mazda 6 3.7L,18,3.7,1.19
Mini Cooper 1.6L,28,1.6,0.82
Mini Cooper Countryman 1.6L,25,1.6,1.03
Mini Cooper S 1.6L,26,1.6,0.82
Mini Cooper S Clubman 1.6L,26,1.6,0.97
Mini Cooper S Convertible 1.6L,26,1.6,0.80
Mini Cooper S Countryman 1.6L,25,1.6,1.03
Mini Mini Clubman 1.6L,27,1.6,0.97
Mini Mini Convertible 1.6L,27,1.6,0.80
Mitsubishi Eclipse 2.4L,20,2.4,0.98
Mitsubishi Eclipse 3.8L,17,3.8,0.98
Mitsubishi Eclipse Spyder 2.4L,20,2.4,0.81
Mitsubishi Eclipse Spyder 3.8L,16,3.8,0.81
Mitsubishi Galant 2.4L,21,2.4,1.14
Mitsubishi Lancer 2.4L,23,2.4,1.05
Mitsubishi Lancer 2L,25,2.0,1.05
Mitsubishi Lancer Sportback 2L,25,2.0,1.09
Nissan Altima 2.5L,23,2.5,1.16
Nissan Altima 3.5L,20,3.5,1.16
Nissan Altima Coupe 2.5L,23,2.5,0.97
Nissan Altima Coupe 3.5L,20,3.5,0.97
Nissan Cube 1.8L,27,1.8,1.09
Nissan Juke 1.6L,27,1.6,0.96
Nissan Maxima 3.5L,19,3.5,1.10
Nissan Sentra 2.5L,24,2.5,1.10
Nissan Sentra 2L,27,2.0,1.10
Nissan Versa 1.6L,25,1.6,1.08
Nissan Versa 1.8L,24,1.8,1.08
Saab 9-3 Sport Sedan 2L,19,2.0,1.05
Scion tC 2.5L,23,2.5,1.05
Scion xB 2.4L,22,2.4,1.23
Scion xD 1.8L,27,1.8,0.95
Suzuki Kizashi 2.4L,23,2.4,1.05
Suzuki Kizashi S 2.4L,23,2.4,1.05
Suzuki Swift + 1.6L,25,1.6,0.98
Suzuki SX4 2L,23,2.0,0.98
Suzuki SX4 Sedan 2L,25,2.0,1.04
Suzuki SX4 Sport Anniversary Edition 2L,23,2.0,1.04
Toyota Avalon 3.5L,20,3.5,1.21
Toyota Camry 2.5L,22,2.5,1.16
Toyota Camry 3.5L,20,3.5,1.16
Toyota Corolla 1.8L,26,1.8,1.04
Toyota Corolla 2.4L,22,2.4,1.04
Toyota Corolla Matrix 1.8L,25,1.8,1.14
Toyota Corolla Matrix 2.4L,21,2.4,1.14
Toyota Yaris 1.5L,29,1.5,1.00
Volkswagen CC 2L,22,2.0,1.07
Volkswagen EOS 2L,22,2.0,0.88
Volkswagen GOLF 2.5L,24,2.5,1.09
Volkswagen GTI 2L,24,2.0,1.09
Volkswagen Jetta 2.5L,24,2.5,1.10
Volkswagen Jetta 2L,23,2.0,1.10
Volkswagen Jetta Sportwagen 2.5L,24,2.5,1.25
Volvo C30 Fwd 2.5L,21,2.5,1.04
Volvo C70 Fwd 2.5L,19,2.5,0.97
Volvo S40 Fwd 2.5L,21,2.5,1.05
Volvo S80 Fwd 3.2L,19,3.2,1.13
Volvo V50 Fwd 2.5L,21,2.5,1.25
Volvo XC60 Fwd 3.2L,18,3.2,1.33
Volvo XC70 Fwd 3.2L,18,3.2,1.35
