Movie,Box,Rate,User,Meta,Len,Win,Nom
Star Wars: Episode IV - A New Hope (1977),460.935665,8.8,423.838,91,121,36,22
Toy Story 3 (2010),414.984497,8.5,201.748,92,103,35,41
Spider-Man 2 (2004),373.377893,7.5,191.179,83,127,15,39
Finding Nemo (2003),339.714367,8.1,263.202,89,100,35,36
The Lion King (1994),328.423001,8.3,233.977,83,89,27,22
Pirates of the Caribbean: The Curse of the Black Pearl (2003),305.388685,8.0,355.801,63,143,28,74
Up (2009),292.979556,8.3,222.884,88,96,56,32
Harry Potter and the Goblet of Fire (2005),289.994397,7.5,174.042,81,157,10,31
Jaws (1975),260.000000,8.2,190.092,79,124,12,13
Batman (1989),251.188924,7.6,144.843,66,126,9,18
Men in Black (1997),250.147615,7.1,176.906,71,98,18,28
Cast Away (2000),233.630478,7.5,164.460,73,143,14,24
Kung Fu Panda (2008),215.395021,7.6,125.889,73,90,13,21
Hannibal (2001),165.091464,6.5,105.686,57,131,5,14
The Firm (1993),158.348400,6.7,48.349,58,154,2,6
Lethal Weapon 3 (1992),144.731527,6.6,63.335,36,118,3,4
The Smurfs (2011),142.614158,5.3,25.507,30,103,1,4
Patch Adams (1998),135.014968,6.3,40.566,25,115,1,7
Blades of Glory (2007),118.153533,6.4,68.175,64,93,3,10
Twins (1988),111.936400,5.9,45.982,53,105,4,1
How to Lose a Guy in 10 Days (2003),105.807520,6.1,57.843,45,116,1,7
Phenomenon (1996),104.632573,6.3,35.768,41,123,7,7
Daredevil (2003),102.543518,5.4,87.933,42,103,4,15
Journey to the Center of the Earth (2008),101.702060,5.7,37.743,57,93,1,3
Evan Almighty (2007),100.289690,5.4,62.471,37,96,1,10
