Price,Floor,School,DHa
359.9,2.200,Redwood,0
249.7,1.868,Redwood,0
265.0,1.875,Redwood,0
349.0,2.000,Redwood,0
319.0,1.855,Harris,1
339.0,1.928,Redwood,0
283.0,1.980,Redwood,0
275.0,1.528,Redwood,0
299.9,1.882,Redwood,0
214.9,1.868,Redwood,0
195.0,2.112,Redwood,0
256.0,1.974,Harris,1
249.9,1.804,Redwood,0
324.5,1.800,Harris,1
359.9,1.968,Harris,1
269.0,1.800,Redwood,0
256.5,2.200,Redwood,0
197.0,1.850,Redwood,0
259.0,2.080,Redwood,0
189.5,1.906,Redwood,0
339.9,2.048,Redwood,0
297.0,2.106,Redwood,0
295.0,2.028,Redwood,0
199.0,2.016,Redwood,0
230.0,2.234,Redwood,0
243.0,1.810,Redwood,0
217.0,1.875,Redwood,0
259.9,1.683,Harris,1
349.5,2.080,Harris,1
345.0,2.126,Harris,1
336.0,2.126,Harris,1
333.8,2.126,Harris,1
340.0,2.126,Harris,1
345.0,2.126,Harris,1
236.5,1.950,Redwood,0
350.0,2.020,Harris,1
270.0,2.053,Redwood,0
299.0,1.743,Harris,1
249.9,2.081,Harris,1
435.0,2.253,Redwood,0
