Restaurant,Profit,Cov,Fco,Oco,Lco,Region,DSw,DNw
1,82.254,14.017,154.464,65.113,91.751,SW,1,0
2,96.013,16.256,159.244,98.435,105.715,Mtn,0,0
3,77.257,13.642,137.316,79.933,79.688,SW,1,0
4,41.325,14.891,155.980,69.589,83.394,NW,0,1
5,57.589,9.457,86.523,59.338,50.314,Mtn,0,0
6,-2.353,14.658,161.473,108.195,101.419,NW,0,1
7,84.813,16.295,169.286,106.949,93.798,SW,1,0
8,69.767,16.012,173.774,88.659,109.319,Mtn,0,0
9,77.434,14.806,151.818,72.237,105.593,SW,1,0
10,78.946,14.559,155.823,73.201,80.789,Mtn,0,0
11,63.236,14.695,155.911,100.567,113.314,SW,1,0
12,82.665,17.592,193.427,115.149,132.418,Mtn,0,0
13,74.124,14.943,163.342,83.928,112.828,SW,1,0
14,80.673,12.229,110.359,60.935,69.329,Mtn,0,0
15,37.654,15.948,169.968,81.528,97.251,NW,0,1
16,43.683,16.519,175.845,116.975,98.933,NW,0,1
17,43.752,13.544,137.538,81.909,100.045,Mtn,0,0
18,68.378,14.024,140.613,74.553,94.147,Mtn,0,0
19,105.095,16.073,160.127,96.298,117.765,SW,1,0
20,81.210,14.345,137.839,74.174,104.097,Mtn,0,0
21,48.769,15.723,147.408,88.116,81.716,NW,0,1
22,9.076,13.470,128.015,83.539,81.781,NW,0,1
23,70.893,17.899,194.060,104.077,118.035,Mtn,0,0
24,67.487,17.968,178.795,98.848,102.780,NW,0,1
25,108.806,15.306,150.517,73.914,96.893,SW,1,0
26,90.915,15.192,144.961,67.434,120.181,Mtn,0,0
27,79.550,14.767,159.039,77.881,97.662,SW,1,0
28,120.294,18.753,202.936,117.708,116.292,Mtn,0,0
29,73.278,16.597,144.071,68.798,84.382,NW,0,1
30,32.979,12.989,114.139,45.439,83.749,NW,0,1
31,10.542,12.813,133.916,71.398,77.105,NW,0,1
32,35.730,16.349,165.381,99.919,111.661,NW,0,1
33,125.310,17.262,187.675,101.755,131.467,SW,1,0
34,68.863,14.024,144.040,89.476,84.639,Mtn,0,0
35,23.477,10.704,107.501,83.527,82.796,SW,1,0
36,58.401,14.516,155.232,68.387,110.332,Mtn,0,0
37,34.871,13.091,125.508,59.119,88.083,NW,0,1
38,82.760,12.977,121.995,64.168,86.245,SW,1,0
39,67.418,13.243,133.883,62.390,83.350,Mtn,0,0
40,15.916,17.392,179.391,89.733,116.93,NW,0,1
41,109.707,16.741,163.801,85.064,101.696,Mtn,0,0
42,122.009,16.603,150.183,89.101,98.996,SW,1,0
43,13.972,10.695,114.823,75.01,76.842,SW,1,0
44,66.137,12.581,126.255,59.692,78.302,Mtn,0,0
45,31.757,15.451,154.067,87.285,80.899,NW,0,1
46,73.95,14.051,133.608,73.386,85.755,Mtn,0,0
47,103.258,16.093,153.621,85.885,95.463,Mtn,0,0
48,64.183,13.49,130.938,66.121,83.823,Mtn,0,0
49,55.076,12.353,140.868,61.657,94.885,Mtn,0,0
50,94.328,14.959,146.853,74.607,95.323,SW,1,0
51,116.363,11.903,93.247,40.436,58.332,Mtn,0,0
52,69.679,19.424,180.693,93.936,132.869,NW,0,1
53,1.663,12.771,134.661,71.292,92.229,NW,0,1
54,103.642,14.736,145.012,75.083,92.271,SW,1,0
55,-15.236,13.686,150.049,97.926,100.153,NW,0,1
56,114.979,16.429,151.031,92.818,107.546,Mtn,0,0
57,108.446,14.798,140.43,78.436,82.617,Mtn,0,0
58,101.851,16.812,163.164,98.144,98.715,Mtn,0,0
59,118.899,15.544,149.036,69.931,92.599,Mtn,0,0
60,1.912,11.382,137.056,86.988,93.65,SW,1,0
61,119.352,18.011,171.918,123.024,109.442,SW,1,0
62,58.124,16.707,146.716,82.832,94.675,NW,0,1
63,20.085,13.207,146.189,84.407,98.374,Mtn,0,0
64,20.071,15.622,157.532,89.403,108.557,NW,0,1
65,107.177,16.95,168.176,86.018,117.061,SW,1,0
66,55.071,14.452,136.543,52.263,76.533,NW,0,1
67,20.834,11.412,111.633,62.208,68.682,NW,0,1
68,65.024,13.195,136.584,76.317,79.775,Mtn,0,0
69,45.37,9.74,96.116,51.495,74.849,SW,1,0
70,-3.688,13.322,144.795,78.165,85.229,NW,0,1
71,51.829,13.051,129.567,78.505,89.666,SW,1,0
72,20.613,16.777,172.32,92.012,120.552,NW,0,1
73,83.476,18.983,173.955,84.605,107.863,NW,0,1
74,79.808,17.073,178.243,115.815,95.512,Mtn,0,0
75,53.928,17.25,163.124,101.519,101.335,NW,0,1
76,111.325,14.107,124.602,61.762,88.951,SW,1,0
77,88.368,16.781,157.083,82.653,86.343,NW,0,1
78,100.044,14.115,127.142,72.784,85.485,SW,1,0
79,81.438,14.165,148.686,81.38,84.652,Mtn,0,0
80,122.68,15.26,145.013,65.133,94.452,SW,1,0
81,120.829,19.332,204.239,117.185,116.615,Mtn,0,0
82,62.805,11.273,105.788,70.445,73.244,Mtn,0,0
83,72.781,13.632,135.58,87.986,82.833,SW,1,0
84,100.836,14.989,149.81,67.59,89.652,SW,1,0
85,101.393,17.802,189.012,126.045,110.669,Mtn,0,0
86,4.355,12.407,122.43,56.448,78.394,NW,0,1
87,81.847,15.457,166.814,100.607,99.626,Mtn,0,0
88,80.738,17.138,173,105.615,110.484,Mtn,0,0
89,107.984,16.953,173.642,96.607,110.149,SW,1,0
90,45.697,12.924,134.957,66.456,98.08,Mtn,0,0
91,114.428,21.337,196.154,104.473,107.529,NW,0,1
92,41.175,10.061,111.068,69.298,62.354,SW,1,0
93,36.886,12.48,133.744,73.881,78.907,Mtn,0,0
94,87.339,19.191,191.798,107,96.717,NW,0,1
95,19.612,13.806,153.698,93.274,121.891,Mtn,0,0
96,84.904,15.13,149.094,78.92,97.542,Mtn,0,0
97,70.263,15.191,155.84,104.617,103.659,SW,1,0
98,-1.816,14.835,165.725,86.958,102.956,NW,0,1
99,82.229,15.78,158.718,99.044,118.805,Mtn,0,0
100,67.543,12.241,135.398,65.588,89.134,SW,1,0
101,144.036,17.501,164.156,86.986,102.458,Mtn,0,0
102,69.488,16.627,183.559,116.575,119.347,SW,1,0
103,101.855,15.291,153.498,84.244,86.123,SW,1,0
104,14.363,15.521,155.954,88.568,107.315,NW,0,1
105,-1.289,16.272,174.921,98.017,105.203,NW,0,1
106,6.956,13.731,138.656,88.75,80.941,NW,0,1
107,66.967,12.454,137.345,59.279,71.008,SW,1,0
108,98.777,16.801,175.412,88.964,100.546,Mtn,0,0
109,88.704,17.733,189.807,101.306,124.409,Mtn,0,0
110,58.535,16.501,180.931,101.972,132.702,Mtn,0,0
111,75.077,14.202,141.734,80.858,97.201,SW,1,0
112,34.855,14.185,140.945,79.509,76.415,NW,0,1
113,161.332,19.385,180.645,113.985,125.672,SW,1,0
114,9.115,14.253,143.627,98.741,102.819,NW,0,1
115,118.048,14.709,145.971,74.984,94.906,SW,1,0
116,62.52,15.028,162.898,93.609,103.181,Mtn,0,0
117,34.954,14.675,141.805,95.97,100.356,NW,0,1
118,111.152,13.526,125.447,59.13,83.521,SW,1,0
119,51.34,13.93,146.61,92.737,97.607,SW,1,0
120,168.399,19.058,187.668,89.583,123.884,SW,1,0
