City,Region,DAs,DEm,DSa,Bigmac,Wage,Bread,Rice,Vac
Amsterdam,NaWeOc,0,0,0,2.944,4.263,2.303,2.398,26
Athens,NaWeOc,0,0,0,3.401,3.829,2.565,3.296,22
Auckland,NaWeOc,0,0,0,2.944,3.786,2.944,2.565,21
Bangkok,Asia,1,0,0,3.807,2.653,3.761,3.296,7
Barcelona,NaWeOc,0,0,0,3.045,4.119,2.833,2.079,23
Beijing,Asia,1,0,0,3.784,2.625,3.951,3.434,9
Berlin,NaWeOc,0,0,0,2.944,4.282,2.303,2.833,28
Bogota,SaAf,0,0,1,4.060,2.885,3.584,3.045,15
Bratislava,EeMe,0,1,0,4.127,3.153,3.135,3.219,23
Brussels,NaWeOc,0,0,0,2.944,4.316,2.565,2.398,22
Bucharest,EeMe,0,1,0,3.738,2.741,3.296,3.784,26
Budapest,EeMe,0,1,0,4.078,2.779,2.996,4.174,23
Buenos Aires,SaAf,0,0,1,4.043,2.868,3.584,3.526,18
Cairo,EeMe,0,1,0,4.407,2.389,3.871,2.996,13
Caracas,SaAf,0,0,1,4.836,3.231,4.248,2.639,24
Chicago,NaWeOc,0,0,0,2.485,4.368,3.091,2.197,13
Copenhagen,NaWeOc,0,0,0,2.833,4.538,2.485,2.398,24
Delhi,Asia,1,0,0,3.892,2.104,2.996,4.060,16
Doha,EeMe,0,1,0,3.526,3.343,3.258,3.332,25
Dubai,EeMe,0,1,0,2.890,3.968,2.708,2.773,23
Dublin,NaWeOc,0,0,0,2.708,4.592,2.197,2.398,21
Frankfurt,NaWeOc,0,0,0,2.708,4.341,2.079,2.773,29
Geneva,NaWeOc,0,0,0,2.833,4.677,2.565,2.303,23
Helsinki,NaWeOc,0,0,0,3.296,4.421,2.773,2.398,27
Hong Kong,Asia,1,0,0,2.639,3.745,3.045,2.773,10
Istanbul,NaWeOc,0,0,0,3.871,3.135,2.485,3.761,20
Jakarta,Asia,1,0,0,4.913,1.932,4.382,3.850,14
Johannesburg,SaAf,0,0,1,3.258,3.285,2.485,2.833,21
Kiev,EeMe,0,1,0,3.807,2.510,3.045,3.466,26
Kuala Lumpur,Asia,1,0,0,3.714,2.809,3.091,2.565,16
Lima,SaAf,0,0,1,4.060,2.797,3.434,3.135,30
Lisbon,NaWeOc,0,0,0,3.135,3.888,3.401,2.197,22
Ljubljana,EeMe,0,1,0,3.526,3.592,3.219,2.996,21
London,NaWeOc,0,0,0,2.565,4.296,2.303,2.079,22
Los Angeles,NaWeOc,0,0,0,2.565,4.524,2.890,2.398,11
Luxembourg,NaWeOc,0,0,0,2.708,4.569,2.485,2.197,25
Lyon,NaWeOc,0,0,0,2.996,4.258,3.091,2.773,27
Madrid,NaWeOc,0,0,0,3.296,4.142,3.045,2.398,26
Manama,EeMe,0,1,0,3.219,3.500,3.178,3.219,22
Manila,Asia,1,0,0,4.477,1.988,4.431,3.638,10
Mexico City,SaAf,0,0,1,4.860,2.241,4.344,3.714,6
Miami,NaWeOc,0,0,0,2.565,4.421,3.296,2.303,11
Milan,NaWeOc,0,0,0,3.296,4.108,2.944,3.045,25
Montreal,NaWeOc,0,0,0,2.708,4.217,2.833,2.773,14
Moscow,EeMe,0,1,0,3.045,3.431,2.303,2.485,19
Mumbai,Asia,1,0,0,4.111,1.808,2.833,3.611,16
Munich,NaWeOc,0,0,0,2.996,4.349,2.639,2.565,27
Nairobi,SaAf,0,0,1,5.063,2.163,3.664,3.892,21
New York,NaWeOc,0,0,0,2.639,4.605,2.485,2.079,12
Nicosia,Asia,1,0,0,2.890,4.237,2.303,2.485,19
Oslo,NaWeOc,0,0,0,3.045,4.428,2.708,2.485,25
Paris,NaWeOc,0,0,0,2.996,4.251,3.091,2.996,28
Prague,EeMe,0,1,0,3.638,3.292,2.485,3.045,19
Riga,EeMe,0,1,0,3.738,3.118,3.367,3.401,23
Rio de Janeiro,SaAf,0,0,1,3.932,3.135,3.526,2.708,30
Rome,NaWeOc,0,0,0,3.296,3.861,3.258,3.219,22
Santiago de Chile,SaAf,0,0,1,4.234,2.803,3.611,3.584,15
Sao Paulo,SaAf,0,0,1,3.689,3.353,3.258,2.485,28
Seoul,Asia,1,0,0,3.296,3.475,3.045,2.996,12
Shanghai,Asia,1,0,0,3.401,2.785,3.970,3.714,8
Singapore,Asia,1,0,0,3.584,3.444,3.555,2.833,11
Sofia,EeMe,0,1,0,4.025,2.632,2.890,3.784,20
Stockholm,NaWeOc,0,0,0,2.996,4.263,3.219,2.833,25
Sydney,NaWeOc,0,0,0,2.639,4.305,2.773,2.398,20
Taipei,Asia,1,0,0,2.996,3.570,3.135,2.485,9
Tallinn,EeMe,0,1,0,3.401,3.357,2.944,2.890,28
Tel Aviv,EeMe,0,1,0,3.178,3.816,2.773,2.944,17
Tokyo,Asia,1,0,0,2.485,4.419,2.708,3.045,15
Toronto,NaWeOc,0,0,0,2.485,4.214,2.708,2.079,15
Vienna,NaWeOc,0,0,0,2.833,4.303,2.773,2.485,25
Vilnius,EeMe,0,1,0,3.714,3.040,3.367,3.555,28
Warsaw,EeMe,0,1,0,3.434,3.054,2.565,3.219,23
Zurich,NaWeOc,0,0,0,2.708,4.786,2.485,2.197,23
